osmid,name,highway,oneway,reversed,length,ref,geometry,lanes,bridge,maxspeed,junction,access,est_width,tunnel,service
33173599,Via Giovanni Boccaccio,residential,False,False,318.982,,"LINESTRING (12.6339243 46.1414437, 12.6334449 46.1415687, 12.6329982 46.1416458, 12.6327057 46.1417524, 12.6322771 46.1420131, 12.6318281 46.1422921, 12.6314971 46.1424848, 12.6311612 46.1426171, 12.6310488 46.142683, 12.6308082 46.1428353, 12.6306308 46.1429412, 12.6305231 46.1430007)",,,,,,,,
77512190,Via Alessandro Volta,residential,False,False,225.39600000000002,,"LINESTRING (12.6339243 46.1414437, 12.6339533 46.1419353, 12.6339053 46.1421038, 12.6338257 46.1422602, 12.6336443 46.1425308, 12.633521 46.14284, 12.6334789 46.1431219, 12.6334035 46.1434121)",,,,,,,,
77512190,Via Alessandro Volta,residential,False,True,271.269,,"LINESTRING (12.6351263 46.1472165, 12.6350981 46.1471757, 12.635078 46.1470976, 12.6350699 46.1469926, 12.6350306 46.1464499, 12.6349499 46.1461736, 12.6347405 46.1457008, 12.6345381 46.1453423, 12.6342358 46.1448827)",,,,,,,,
77512194,Via Montenero,residential,False,False,129.28,,"LINESTRING (12.6351263 46.1472165, 12.6352054 46.1472946, 12.635597 46.1475715, 12.6363063 46.1480409)",,,,,,,,
77512194,Via Montenero,residential,False,False,127.263,,"LINESTRING (12.6400203 46.1507801, 12.6401495 46.1509204, 12.640353 46.1510719, 12.6405308 46.1512136, 12.6407767 46.1513837, 12.6411541 46.1516052)",,,,,,,,
77512194,Via Montenero,residential,False,True,261.027,,"LINESTRING (12.6400203 46.1507801, 12.6399975 46.1505284, 12.6399441 46.150414, 12.6399056 46.1503378, 12.6398306 46.1502676, 12.6397258 46.1501981, 12.6396094 46.1501379, 12.6394148 46.1499906, 12.639251 46.1497935, 12.6390684 46.1495607, 12.6389147 46.1493731, 12.6387314 46.1492166, 12.6384874 46.1490793, 12.6381456 46.1489322)",,,,,,,,
77512348,Vicolo Dante Alighieri,residential,False,False,64.17,,"LINESTRING (12.6438387 46.153343, 12.6432001 46.1537136)",,,,,,,,
77512194,Via Montenero,residential,False,False,59.787,,"LINESTRING (12.6438387 46.153343, 12.6443627 46.1534093, 12.6446035 46.1534343)",,,,,,,,
77512194,Via Montenero,residential,False,True,50.766000000000005,,"LINESTRING (12.6438387 46.153343, 12.643604 46.1532673, 12.6432857 46.1530993)",,,,,,,,
77512194,Via Montenero,residential,False,True,4.895,,"LINESTRING (12.6446564 46.1534099, 12.6446035 46.1534343)",,,,,,,,
77512081,Via Luigi Cadorna,residential,False,False,116.594,,"LINESTRING (12.6446564 46.1534099, 12.6447576 46.1531839, 12.6447261 46.1529675, 12.6446528 46.1526742, 12.6446022 46.1525188, 12.6446301 46.1523827)",,,,,,,,
77512194,Via Montenero,residential,False,False,85.873,,"LINESTRING (12.6446564 46.1534099, 12.6450198 46.1535056, 12.6456966 46.1536877)",,,,,,,,
77512194,Via Montenero,residential,False,False,89.13,,"LINESTRING (12.6456966 46.1536877, 12.6464387 46.1538057, 12.6468314 46.1538395)",,,,,,,,
77512194,Via Montenero,residential,False,True,85.873,,"LINESTRING (12.6456966 46.1536877, 12.6450198 46.1535056, 12.6446564 46.1534099)",,,,,,,,
40551687,Via Vincenzo Chiaranda,unclassified,False,False,74.78399999999999,,"LINESTRING (12.6510117 46.1539607, 12.6510577 46.1540257, 12.650797 46.1543448, 12.6507731 46.1544759, 12.6507961 46.154576)",,,,,,,,
"[77512194, 77512287]","['Via Montenero', 'Largo Daniele Manin']",residential,False,False,115.398,,"LINESTRING (12.6510117 46.1539607, 12.6511849 46.1538351, 12.6513956 46.1536126, 12.651584 46.1534672, 12.6519335 46.1531455)",,,,,,,,
77512194,Via Montenero,residential,False,True,119.96900000000001,,"LINESTRING (12.6510117 46.1539607, 12.6506452 46.1541072, 12.6503553 46.1541829, 12.6499428 46.1541825, 12.6495319 46.1541613)",,,,,,,,
77512211,Largo Daniele Manin,secondary,False,True,33.143,SP29,"LINESTRING (12.6519335 46.1531455, 12.6521181 46.1532325, 12.6523204 46.1532629)",,,,,,,,
"[77512194, 77512287]","['Via Montenero', 'Largo Daniele Manin']",residential,False,True,115.398,,"LINESTRING (12.6519335 46.1531455, 12.651584 46.1534672, 12.6513956 46.1536126, 12.6511849 46.1538351, 12.6510117 46.1539607)",,,,,,,,
"[77512340, 380746093]","['Via Giuseppe Mazzini', 'Largo Daniele Manin']",secondary,False,False,215.21800000000002,SP29,"LINESTRING (12.6519335 46.1531455, 12.6517835 46.1530288, 12.6516337 46.1528741, 12.6510334 46.1522988, 12.6506647 46.1520446, 12.6503673 46.1518645, 12.6501184 46.1517375, 12.6500833 46.1517124)",,,,,,,,
1075183288,Via Malnisio,secondary,False,True,10.088,SP29,"LINESTRING (12.6436886 46.1485611, 12.6437914 46.1486173)",2,,,,,,,
33173597,Via Macor,residential,False,False,333.103,,"LINESTRING (12.6436886 46.1485611, 12.6437689 46.1484564, 12.643848 46.148383, 12.644021 46.1482725, 12.6439386 46.1479384, 12.6438329 46.1474881, 12.6437685 46.1472688, 12.6436661 46.1470741, 12.6433694 46.1466814, 12.6430562 46.1463366, 12.642568 46.1459084)",,,,,,,,
77512120,Via Quattro Novembre,secondary,False,False,385.509,SP29,"LINESTRING (12.6436886 46.1485611, 12.6429555 46.148169, 12.6414827 46.1473201, 12.6407871 46.1468267, 12.640049 46.1462007)",,,,,,,,
77512066,Via Aldo Moro,residential,False,True,239.202,,"LINESTRING (12.6373759 46.1399795, 12.6355395 46.138245)",,,,,,,,
77512131,Via Maniana,residential,False,False,28.541,,"LINESTRING (12.6373759 46.1399795, 12.6375811 46.1401932)",,,,,,,,
77512131,Via Maniana,residential,False,True,514.414,,"LINESTRING (12.6373759 46.1399795, 12.6372949 46.1397541, 12.6372679 46.139444, 12.6373503 46.139101, 12.6375178 46.1389, 12.6377746 46.1386543, 12.6396505 46.1372697, 12.6398515 46.1369682, 12.640019 46.1367226, 12.6401642 46.1364546, 12.6403093 46.1362313, 12.6403763 46.1360719)",,,,,,,,
77512131,Via Maniana,residential,False,False,514.414,,"LINESTRING (12.6403763 46.1360719, 12.6403093 46.1362313, 12.6401642 46.1364546, 12.640019 46.1367226, 12.6398515 46.1369682, 12.6396505 46.1372697, 12.6377746 46.1386543, 12.6375178 46.1389, 12.6373503 46.139101, 12.6372679 46.139444, 12.6372949 46.1397541, 12.6373759 46.1399795)",,,,,,,,
77512131,Via Maniana,residential,False,True,55.524,,"LINESTRING (12.6403763 46.1360719, 12.640391 46.1356916, 12.6403238 46.1355822)",,,,,,,,
337440333,MV 06,cycleway,False,True,164.637,MV 06,"LINESTRING (12.6403763 46.1360719, 12.6404961 46.136106, 12.6406665 46.1361469, 12.6412887 46.1362881, 12.6422329 46.1365037, 12.6423623 46.1365884)",,,,,,,,
33173595,Via Dalmazia,unclassified,False,False,95.279,,"LINESTRING (12.6342844 46.1396963, 12.6342672 46.1397938, 12.6342783 46.1405524)",,,,,,,,
33173595,Via Dalmazia,unclassified,False,True,32.215,,"LINESTRING (12.6342844 46.1396963, 12.6343335 46.139566, 12.6344686 46.1394424)",,,,,,,,
77512177,Via Scipio Slataper,residential,False,False,83.093,,"LINESTRING (12.6344686 46.1394424, 12.6351286 46.1400334)",,,,,,,,
33173595,Via Dalmazia,unclassified,False,False,32.215,,"LINESTRING (12.6344686 46.1394424, 12.6343335 46.139566, 12.6342844 46.1396963)",,,,,,,,
33173595,Via Dalmazia,unclassified,False,True,157.22,,"LINESTRING (12.6344686 46.1394424, 12.6348603 46.1391015, 12.635152 46.1387156, 12.6353337 46.1384668, 12.6355395 46.138245)",,,,,,,,
77512066,Via Aldo Moro,residential,False,False,239.202,,"LINESTRING (12.6355395 46.138245, 12.6373759 46.1399795)",,,,,,,,
283349458,,unclassified,False,False,99.362,,"LINESTRING (12.6355395 46.138245, 12.6348011 46.1375124)",,,,,,,,
