anno,geometry,accident_count
2018,POINT (665555.5061686423 5101099.773572286),1
2018,POINT (664863.5959892209 5103492.17511564),1
2018,POINT (663634.1639203785 5105228.538884419),1
2018,POINT (663473.8146237036 5106493.524583469),1
2018,POINT (662523.9233336241 5104087.937498908),1
2018,POINT (662520.9600002879 5104086.244165572),1
2018,POINT (664478.2049066871 5103743.60374028),1
2018,POINT (665705.0325698355 5100956.732072871),1
2018,POINT (665155.9964209659 5103003.917022958),1
2018,POINT (664834.5455920934 5103408.962481797),1
2018,POINT (663233.6134603178 5104282.33678114),1
2018,POINT (664162.4090378617 5102422.535327395),1
2018,POINT (663825.6363913346 5106896.631589858),1
2018,POINT (663247.3324969236 5103068.472467879),1
2018,POINT (666307.241362335 5102762.448611283),1
2018,POINT (664598.7126417304 5102711.5424435735),1
2018,POINT (663823.2553904054 5104777.040390654),1
2018,POINT (664098.1507360279 5104326.359741527),1
2018,POINT (664804.2055485795 5103294.644395345),1
2018,POINT (663869.1573542664 5105604.147885871),1
2018,POINT (663904.0426718508 5102767.777365474),1
2018,POINT (664837.3405084256 5102849.38872541),1
2018,POINT (663509.2170181533 5104794.655109699),1
2018,POINT (665857.1433483673 5101763.154127916),1
2018,POINT (662827.0198154525 5108849.071147431),1
2018,POINT (663900.7130915489 5102843.54364219),1
2018,POINT (664311.3749792533 5104278.63993776),1
2018,POINT (663958.5497566883 5104741.589844229),1
2018,POINT (663019.4302255054 5104549.085695179),1
2018,POINT (664156.3480730947 5104330.155864697),1
2018,POINT (663894.7591882781 5103638.276339472),1
2018,POINT (664751.9209024399 5102190.987607887),1
2018,POINT (665870.696305246 5101816.817252725),1
2018,POINT (666076.3399477026 5102096.315165588),1
2018,POINT (663151.7162161743 5104165.769772939),1
2018,POINT (666235.1915561706 5104614.684580389),1
2018,POINT (664542.9415293154 5104547.189897491),1
2018,POINT (663476.028692209 5101589.415216097),1
2018,POINT (663021.6910528744 5106323.6536005745),1
2018,POINT (661041.6216654454 5105150.29249999),1
2018,POINT (661315.0949990576 5105028.3724998655),1
2018,POINT (664144.9312286157 5104678.242398911),1
2018,POINT (664751.8650082988 5103035.578296162),1
2018,POINT (663865.5998628199 5105594.988590241),1
2018,POINT (663955.4503373549 5106829.168750369),1
2018,POINT (663096.764390358 5104063.408528772),1
2018,POINT (663813.7755667424 5105764.760602336),1
2018,POINT (662350.3069600314 5106553.594240946),1
2018,POINT (664217.8254817646 5104126.292126719),1
2018,POINT (664579.3961530728 5103722.109583472),1
2018,POINT (662212.9742111526 5094395.714775238),1
2018,POINT (663945.3308157097 5104276.748165928),1
2018,POINT (662760.8098266379 5106638.96527646),1
2018,POINT (661607.6488131292 5109133.894265961),1
2018,POINT (664206.0952358933 5104818.144853591),1
2018,POINT (663317.7748003113 5104673.162698909),1
2018,POINT (663442.5533331911 5101653.149167007),1
2018,POINT (663396.6766672292 5105385.695832306),1
2018,POINT (662789.9726734058 5108843.513544712),1
2018,POINT (664015.3410080855 5104401.636534075),1
2018,POINT (663965.822837633 5106219.124348273),1
2018,POINT (662780.5907488333 5110168.364071928),1
2018,POINT (664746.7547532602 5110111.059818948),1
2018,POINT (664294.9173716955 5104228.689735615),1
2018,POINT (664123.5948642376 5106274.418794997),1
2018,POINT (663400.1614770717 5105382.500193935),1
2018,POINT (663832.879912863 5105726.080420125),1
2018,POINT (663336.7066415886 5104672.0796628175),1
2018,POINT (663101.0549477583 5102696.800484436),1
2018,POINT (664437.3442896856 5101311.189073324),1
2018,POINT (663892.6449888404 5105567.939827689),1
2018,POINT (661759.6332083982 5109873.854078539),1
2018,POINT (663594.5926669163 5106260.061477667),1
2018,POINT (665523.8009352569 5101323.877320834),1
2018,POINT (663698.7075930237 5106044.576945485),1
2018,POINT (664870.5920817859 5101308.407299726),1
2018,POINT (663086.6433329794 5104016.187499879),1
2018,POINT (663899.201147561 5103140.423623858),1
2018,POINT (663524.1142345285 5106345.812071053),1
2018,POINT (662851.6492338387 5105817.386237179),1
2018,POINT (663245.154066873 5102182.020963453),1
2018,POINT (663334.2661599454 5103996.125085297),1
2018,POINT (663118.9046298898 5107672.761536336),1
2018,POINT (663629.6666667167 5101350.889166697),1
2018,POINT (662578.529474344 5109331.047848454),1
2018,POINT (665202.6436702955 5102482.4317690525),1
2018,POINT (662500.1723835566 5109163.006740074),1
2018,POINT (663353.4254253262 5104084.038650075),1
2018,POINT (662016.5234323484 5109264.0577107305),1
2018,POINT (664675.0008826895 5102467.399590134),1
2018,POINT (664383.2458763942 5104254.071327333),1
2018,POINT (666167.3892127734 5104403.245250465),1
2018,POINT (663811.7499513869 5105708.090077604),1
2018,POINT (662306.3693488095 5106588.679010082),1
2018,POINT (663738.059273054 5103758.545177278),1
2018,POINT (663433.1087974986 5101687.910533677),1
2018,POINT (664508.6955773265 5103052.575414077),1
2018,POINT (663363.0216671951 5105421.14999901),1
2018,POINT (664430.2899999422 5104431.981369073),1
2018,POINT (663478.2599999575 5106491.060833127),1
2018,POINT (663188.2794346812 5102227.465437401),1
2018,POINT (663772.4486574953 5104775.631145572),1
2018,POINT (666041.2185240744 5098465.285656598),1
2018,POINT (666170.3714564313 5104283.274661825),1
2018,POINT (665440.496798397 5104031.033987724),1
2018,POINT (662705.8008027726 5109880.327284659),1
2018,POINT (663660.4483396391 5104965.05462455),1
2018,POINT (663527.2225458787 5100633.69689269),1
2018,POINT (663849.6640298073 5104560.46359405),1
2018,POINT (664564.5610145263 5103397.666582336),1
2018,POINT (663786.1304377594 5106499.727561464),1
2018,POINT (663785.7589256661 5104795.970917308),1
2018,POINT (661618.3632367727 5104973.441365422),1
2018,POINT (661579.9747302905 5105010.407147302),1
2018,POINT (663184.7628351466 5102232.346989891),1
2018,POINT (664137.3590176196 5104515.347174036),1
2018,POINT (665645.6676921818 5100991.805633143),1
2018,POINT (663992.0301965245 5102904.753393326),1
2018,POINT (662416.0323455244 5108973.670089428),1
2018,POINT (663874.9203222496 5106335.771506665),1
2018,POINT (663835.5575944628 5105730.745894074),1
2018,POINT (663437.4711164015 5101655.130270044),1
