osmid,y,x,street_count,highway,ref,geometry,lts,message
9915202496,46.1656427,12.6645742,3,,,POINT (12.6645742 46.1656427),,Node not found in edges
9944458001,46.1411379,12.6809692,1,,,POINT (12.6809692 46.1411379),,Node not found in edges
9944458007,46.1415746,12.6799554,1,,,POINT (12.6799554 46.1415746),,Node not found in edges
9944458012,46.1404514,12.6783933,3,,,POINT (12.6783933 46.1404514),2.0,Node LTS is max intersecting LTS
9944498606,46.1523824,12.6701397,3,,,POINT (12.6701397 46.1523824),4.0,Node LTS is max intersecting LTS
9944511319,46.1411416,12.6791373,4,,,POINT (12.6791373 46.1411416),,Node not found in edges
9944511324,46.1408932,12.6779549,3,,,POINT (12.6779549 46.1408932),2.0,Node LTS is max intersecting LTS
9944515667,46.1565059,12.6674828,3,,,POINT (12.6674828 46.1565059),2.0,Node LTS is max intersecting LTS
10056139915,46.0920179,12.7091709,1,,,POINT (12.7091709 46.0920179),,Node not found in edges
10247196036,46.0993412,12.684189,3,,,POINT (12.684189 46.0993412),3.0,Node LTS is max intersecting LTS
10692830856,46.099071,12.6859376,3,,,POINT (12.6859376 46.099071),3.0,Node LTS is max intersecting LTS
10692830865,46.0992019,12.6841513,3,,,POINT (12.6841513 46.0992019),3.0,Node LTS is max intersecting LTS
10866845707,46.1728559,12.6173626,3,,,POINT (12.6173626 46.1728559),2.0,Node LTS is max intersecting LTS
11020585071,46.1449939,12.6335319,3,,,POINT (12.6335319 46.1449939),4.0,Node LTS is max intersecting LTS
