osmid,y,x,street_count,highway,geometry,lts,message
8198607087,45.8934555,11.0308293,3,,POINT (11.0308293 45.8934555),2.0,Node LTS is max intersecting LTS
8198607088,45.8933165,11.0306249,1,,POINT (11.0306249 45.8933165),2.0,Node LTS is max intersecting LTS
8220033251,45.883359,11.0705788,1,,POINT (11.0705788 45.883359),,Node not found in edges
8220033254,45.8829676,11.0701525,3,,POINT (11.0701525 45.8829676),2.0,Node LTS is max intersecting LTS
8235330414,45.8934828,11.0382634,3,,POINT (11.0382634 45.8934828),2.0,Node LTS is max intersecting LTS
8235347118,45.893586,11.0383375,1,,POINT (11.0383375 45.893586),,Node not found in edges
8329907270,45.8924591,11.0420029,3,,POINT (11.0420029 45.8924591),1.0,Node LTS is max intersecting LTS
8329907276,45.8856582,11.0416671,3,,POINT (11.0416671 45.8856582),2.0,Node LTS is max intersecting LTS
8329907277,45.8847458,11.0430777,3,,POINT (11.0430777 45.8847458),4.0,Node LTS is max intersecting LTS
8329907282,45.8850206,11.042315,3,,POINT (11.042315 45.8850206),2.0,Node LTS is max intersecting LTS
8329907286,45.8850089,11.0422875,1,,POINT (11.0422875 45.8850089),2.0,Node LTS is max intersecting LTS
8366468427,45.8895063,11.0430271,3,,POINT (11.0430271 45.8895063),1.0,Node LTS is max intersecting LTS
8435731359,45.8618841,11.0005856,3,,POINT (11.0005856 45.8618841),,Node not found in edges
8435731360,45.8619598,11.0006566,3,,POINT (11.0006566 45.8619598),,Node not found in edges
8435731401,45.8618963,11.0023489,3,,POINT (11.0023489 45.8618963),,Node not found in edges
8435731402,45.8619438,11.0022184,4,crossing,POINT (11.0022184 45.8619438),4.0,Node LTS is max intersecting LTS
8435731403,45.8619085,11.0023009,4,crossing,POINT (11.0023009 45.8619085),4.0,Node LTS is max intersecting LTS
8435731409,45.8612216,11.0018714,3,,POINT (11.0018714 45.8612216),,Node not found in edges
8435731410,45.8611776,11.0020004,3,,POINT (11.0020004 45.8611776),,Node not found in edges
8435731411,45.861556,11.0018745,3,,POINT (11.0018745 45.861556),4.0,Node LTS is max intersecting LTS
8435731447,45.860989,11.0013514,3,,POINT (11.0013514 45.860989),,Node not found in edges
8435731459,45.8615364,11.0015522,3,,POINT (11.0015522 45.8615364),,Node not found in edges
8435731462,45.8616356,11.0016105,3,,POINT (11.0016105 45.8616356),4.0,Node LTS is max intersecting LTS
8435731471,45.8606466,11.0012025,3,,POINT (11.0012025 45.8606466),,Node not found in edges
8435731472,45.8611825,11.0014335,3,,POINT (11.0014335 45.8611825),,Node not found in edges
8435731473,45.8611146,11.0014048,4,crossing,POINT (11.0014048 45.8611146),1.0,Node LTS is max intersecting LTS
8435731474,45.8605384,11.0014719,4,,POINT (11.0014719 45.8605384),4.0,Node LTS is max intersecting LTS
8435731475,45.8607572,11.0012505,3,,POINT (11.0012505 45.8607572),,Node not found in edges
8435731476,45.8606422,11.0015491,3,,POINT (11.0015491 45.8606422),4.0,Node LTS is max intersecting LTS
8435731477,45.8608977,11.0013117,3,,POINT (11.0013117 45.8608977),,Node not found in edges
8435731479,45.860811,11.001527,1,,POINT (11.001527 45.860811),,Node not found in edges
8435731480,45.860674,11.0014666,3,,POINT (11.0014666 45.860674),,Node not found in edges
8435731506,45.8615911,11.0015828,4,crossing,POINT (11.0015828 45.8615911),,Node not found in edges
8435731623,45.8613296,11.0018334,1,,POINT (11.0018334 45.8613296),,Node not found in edges
8435731718,45.8618387,11.0023312,3,,POINT (11.0023312 45.8618387),,Node not found in edges
8435731723,45.8620278,11.0024317,1,,POINT (11.0024317 45.8620278),,Node not found in edges
8435731746,45.861113,11.0018777,3,,POINT (11.0018777 45.861113),4.0,Node LTS is max intersecting LTS
8435731749,45.8610867,11.0020888,3,,POINT (11.0020888 45.8610867),,Node not found in edges
8435772069,45.8604712,11.0016189,3,,POINT (11.0016189 45.8604712),,Node not found in edges
8435772115,45.8607271,11.0020011,1,,POINT (11.0020011 45.8607271),,Node not found in edges
8435772116,45.861098,11.0019581,4,crossing,POINT (11.0019581 45.861098),,Node not found in edges
8435790034,45.8605058,11.001543,4,crossing,POINT (11.001543 45.8605058),1.0,Node LTS is max intersecting LTS
8435939966,45.8619531,11.0004295,1,,POINT (11.0004295 45.8619531),,Node not found in edges
8435939967,45.8618523,11.0006621,4,,POINT (11.0006621 45.8618523),2.0,Node LTS is max intersecting LTS
8435939970,45.8620436,11.000451,1,,POINT (11.000451 45.8620436),,Node not found in edges
8435949223,45.8623608,11.0004679,3,,POINT (11.0004679 45.8623608),,Node not found in edges
8435949251,45.8630484,11.0007603,1,,POINT (11.0007603 45.8630484),,Node not found in edges
8435949314,45.8616258,10.9994306,3,,POINT (10.9994306 45.8616258),1.0,Node LTS is max intersecting LTS
8436030420,45.8646729,11.0035315,1,,POINT (11.0035315 45.8646729),2.0,Node LTS is max intersecting LTS
8436030422,45.864391,11.0041669,3,,POINT (11.0041669 45.864391),4.0,Node LTS is max intersecting LTS
8438304008,45.8606024,11.0013126,3,,POINT (11.0013126 45.8606024),,Node not found in edges
8438304009,45.8602589,11.0010597,3,,POINT (11.0010597 45.8602589),,Node not found in edges
8438503153,45.8616115,11.0031686,3,,POINT (11.0031686 45.8616115),,Node not found in edges
8438503163,45.8621842,11.003197,1,,POINT (11.003197 45.8621842),,Node not found in edges
8438503165,45.8619483,11.0031698,3,,POINT (11.0031698 45.8619483),,Node not found in edges
8438503170,45.8600904,11.0031642,1,,POINT (11.0031642 45.8600904),,Node not found in edges
8438503172,45.8616109,11.0032728,1,,POINT (11.0032728 45.8616109),,Node not found in edges
8438512000,45.8657782,11.009055,1,,POINT (11.009055 45.8657782),,Node not found in edges
8438512001,45.8655523,11.0088902,3,,POINT (11.0088902 45.8655523),3.0,Node LTS is max intersecting LTS
8438551925,45.8661354,11.008465,1,,POINT (11.008465 45.8661354),,Node not found in edges
8438551944,45.8663983,11.0091194,1,,POINT (11.0091194 45.8663983),,Node not found in edges
8438551945,45.86655,11.0092119,3,,POINT (11.0092119 45.86655),3.0,Node LTS is max intersecting LTS
8438835610,45.8618176,11.0001105,3,,POINT (11.0001105 45.8618176),,Node not found in edges
8438840734,45.8618606,11.000132,3,,POINT (11.000132 45.8618606),,Node not found in edges
8438840941,45.8622544,10.9995869,3,,POINT (10.9995869 45.8622544),,Node not found in edges
8438840942,45.8623182,10.9996341,3,,POINT (10.9996341 45.8623182),4.0,Node LTS is max intersecting LTS
8438840954,45.8621808,10.9997049,3,,POINT (10.9997049 45.8621808),,Node not found in edges
8438913334,45.8598092,10.9992529,3,,POINT (10.9992529 45.8598092),2.0,Node LTS is max intersecting LTS
8438913453,45.8579945,10.9984097,1,,POINT (10.9984097 45.8579945),2.0,Node LTS is max intersecting LTS
8439700053,45.8626939,11.0028531,3,,POINT (11.0028531 45.8626939),,Node not found in edges
8439700055,45.8628545,11.0029443,1,,POINT (11.0029443 45.8628545),,Node not found in edges
8439700062,45.8620681,11.0026533,1,,POINT (11.0026533 45.8620681),,Node not found in edges
8439700171,45.8562995,11.00214,1,,POINT (11.00214 45.8562995),,Node not found in edges
8439700242,45.8554337,11.0021024,1,,POINT (11.0021024 45.8554337),1.0,Node LTS is max intersecting LTS
8439700265,45.8562846,11.0022915,1,,POINT (11.0022915 45.8562846),,Node not found in edges
8439700280,45.85708,11.0021586,1,,POINT (11.0021586 45.85708),,Node not found in edges
8439700284,45.8582383,11.0017188,3,,POINT (11.0017188 45.8582383),,Node not found in edges
8439700286,45.8582126,11.0018165,1,,POINT (11.0018165 45.8582126),,Node not found in edges
8439700354,45.8581257,11.001095,2,,POINT (11.001095 45.8581257),,Node not found in edges
8441188978,45.8559275,11.0020018,3,,POINT (11.0020018 45.8559275),3.0,Node LTS is max intersecting LTS
8441188982,45.8559009,11.0021706,4,,POINT (11.0021706 45.8559009),3.0,Node LTS is max intersecting LTS
8441188986,45.8559099,11.0018723,3,,POINT (11.0018723 45.8559099),4.0,Node LTS is max intersecting LTS
8441188987,45.8558495,11.0018908,3,,POINT (11.0018908 45.8558495),4.0,Node LTS is max intersecting LTS
8441451446,45.8686622,11.0130315,3,,POINT (11.0130315 45.8686622),,Node not found in edges
8441451449,45.868404,11.0126738,3,,POINT (11.0126738 45.868404),4.0,Node LTS is max intersecting LTS
8441451461,45.8676732,11.0112186,4,,POINT (11.0112186 45.8676732),3.0,Node LTS is max intersecting LTS
8441451497,45.8681388,11.0126695,3,,POINT (11.0126695 45.8681388),4.0,Node LTS is max intersecting LTS
8441451501,45.8686791,11.0130368,3,,POINT (11.0130368 45.8686791),,Node not found in edges
8441451502,45.8688689,11.0133497,1,,POINT (11.0133497 45.8688689),,Node not found in edges
8441451503,45.8686919,11.0130682,3,,POINT (11.0130682 45.8686919),,Node not found in edges
8441451508,45.8688577,11.0133643,1,,POINT (11.0133643 45.8688577),,Node not found in edges
8441451509,45.868687,11.0130919,3,,POINT (11.0130919 45.868687),,Node not found in edges
8441451510,45.8686643,11.0131081,3,,POINT (11.0131081 45.8686643),,Node not found in edges
8441451520,45.8686857,11.013045,3,,POINT (11.013045 45.8686857),,Node not found in edges
8441451528,45.8681437,11.0129714,1,,POINT (11.0129714 45.8681437),,Node not found in edges
8441451537,45.8684348,11.0133061,3,,POINT (11.0133061 45.8684348),3.0,Node LTS is max intersecting LTS
8441451538,45.8683894,11.0133388,4,,POINT (11.0133388 45.8683894),3.0,Node LTS is max intersecting LTS
8441451552,45.8689067,11.0142989,1,,POINT (11.0142989 45.8689067),,Node not found in edges
8441451554,45.8688808,11.0143213,4,crossing,POINT (11.0143213 45.8688808),,Node not found in edges
8441451582,45.8683557,11.013363,4,,POINT (11.013363 45.8683557),,Node not found in edges
8441746516,45.850485,11.0032216,3,,POINT (11.0032216 45.850485),3.0,Node LTS is max intersecting LTS
8441746523,45.8505116,11.002466,4,crossing,POINT (11.002466 45.8505116),3.0,Node LTS is max intersecting LTS
8441746569,45.8497029,11.0024585,3,,POINT (11.0024585 45.8497029),3.0,Node LTS is max intersecting LTS
8441746620,45.8505991,11.0022967,3,,POINT (11.0022967 45.8505991),3.0,Node LTS is max intersecting LTS
8441824426,45.8522894,11.0019221,1,,POINT (11.0019221 45.8522894),2.0,Node LTS is max intersecting LTS
8441824436,45.8528647,11.001661,3,,POINT (11.001661 45.8528647),4.0,Node LTS is max intersecting LTS
8441824437,45.8528493,11.0017676,4,,POINT (11.0017676 45.8528493),2.0,Node LTS is max intersecting LTS
8441824745,45.8471297,11.0005807,4,crossing,POINT (11.0005807 45.8471297),,Node not found in edges
8441824753,45.8472085,11.000542,1,,POINT (11.000542 45.8472085),,Node not found in edges
8441824754,45.8470963,11.0005996,3,,POINT (11.0005996 45.8470963),,Node not found in edges
8441824763,45.8460938,11.0000957,3,,POINT (11.0000957 45.8460938),,Node not found in edges
8441824764,45.8459769,11.0005245,3,,POINT (11.0005245 45.8459769),,Node not found in edges
8441824765,45.8456558,11.0015499,3,,POINT (11.0015499 45.8456558),,Node not found in edges
8441824767,45.8455744,11.0011525,1,,POINT (11.0011525 45.8455744),,Node not found in edges
8441824770,45.8460739,11.0009216,3,,POINT (11.0009216 45.8460739),,Node not found in edges
8441824771,45.8460419,11.0007675,1,,POINT (11.0007675 45.8460419),,Node not found in edges
8441824772,45.8460571,11.0008407,4,crossing,POINT (11.0008407 45.8460571),,Node not found in edges
8441824773,45.8458335,11.000542,1,,POINT (11.000542 45.8458335),,Node not found in edges
8441824774,45.8458516,11.0006321,1,,POINT (11.0006321 45.8458516),,Node not found in edges
8441824775,45.8458411,11.0005798,4,crossing,POINT (11.0005798 45.8458411),,Node not found in edges
8441824804,45.8468169,11.0005784,3,,POINT (11.0005784 45.8468169),,Node not found in edges
8441824806,45.8469224,11.000525,3,,POINT (11.000525 45.8469224),,Node not found in edges
8441824807,45.8468879,11.0009427,3,,POINT (11.0009427 45.8468879),,Node not found in edges
8441824808,45.8469755,11.0005034,3,,POINT (11.0005034 45.8469755),,Node not found in edges
8441824809,45.8469399,11.0009186,3,,POINT (11.0009186 45.8469399),,Node not found in edges
8441824810,45.8470706,11.0005558,3,,POINT (11.0005558 45.8470706),,Node not found in edges
8441824811,45.8470491,11.000868,3,,POINT (11.000868 45.8470491),,Node not found in edges
8441824850,45.8469537,11.0007572,3,,POINT (11.0007572 45.8469537),,Node not found in edges
8441824851,45.8469039,11.0007496,3,,POINT (11.0007496 45.8469039),,Node not found in edges
8441824852,45.8469503,11.0007974,3,,POINT (11.0007974 45.8469503),,Node not found in edges
8441824853,45.8469005,11.0007905,3,,POINT (11.0007905 45.8469005),,Node not found in edges
8441859991,45.845746,11.001946,4,,POINT (11.001946 45.845746),,Node not found in edges
8441877540,45.8500844,11.0023704,3,,POINT (11.0023704 45.8500844),3.0,Node LTS is max intersecting LTS
8443091225,45.8510228,11.003361,1,,POINT (11.003361 45.8510228),2.0,Node LTS is max intersecting LTS
8447260774,45.8832382,11.0200159,3,,POINT (11.0200159 45.8832382),,Node not found in edges
8447260775,45.8831319,11.01975,1,,POINT (11.01975 45.8831319),,Node not found in edges
8447260776,45.8834325,11.020395,3,,POINT (11.020395 45.8834325),2.0,Node LTS is max intersecting LTS
8447260779,45.8834016,11.0204391,3,,POINT (11.0204391 45.8834016),2.0,Node LTS is max intersecting LTS
8447260781,45.8832241,11.0190607,1,,POINT (11.0190607 45.8832241),,Node not found in edges
