osmid,y,x,street_count,highway,ref,geometry,lts,message
258000956,46.0638623,11.1501287,3,,,POINT (11.1501287 46.0638623),3.0,Node LTS is max intersecting LTS
258000960,46.063777,11.1502777,3,,,POINT (11.1502777 46.063777),3.0,Node LTS is max intersecting LTS
258005723,46.0373967,11.1336352,3,,,POINT (11.1336352 46.0373967),3.0,Node LTS is max intersecting LTS
258005725,46.0373775,11.1335483,3,,,POINT (11.1335483 46.0373775),3.0,Node LTS is max intersecting LTS
258005729,46.0373658,11.1332133,3,,,POINT (11.1332133 46.0373658),3.0,Node LTS is max intersecting LTS
258006058,46.0421313,11.1311218,3,,,POINT (11.1311218 46.0421313),4.0,Node LTS is max intersecting LTS
258007484,46.0421788,11.1310977,3,,,POINT (11.1310977 46.0421788),4.0,Node LTS is max intersecting LTS
258007489,46.0422766,11.1308036,3,,,POINT (11.1308036 46.0422766),4.0,Node LTS is max intersecting LTS
258007506,46.0419278,11.1309833,3,,,POINT (11.1309833 46.0419278),4.0,Node LTS is max intersecting LTS
258007508,46.0419591,11.1310455,3,,,POINT (11.1310455 46.0419591),4.0,Node LTS is max intersecting LTS
258007523,46.0420598,11.1305929,3,,,POINT (11.1305929 46.0420598),4.0,Node LTS is max intersecting LTS
258007545,46.0473491,11.1276148,3,,,POINT (11.1276148 46.0473491),3.0,Node LTS is max intersecting LTS
258009162,46.0475491,11.1273332,3,,,POINT (11.1273332 46.0475491),3.0,Node LTS is max intersecting LTS
258009168,46.0473407,11.1272467,3,,,POINT (11.1272467 46.0473407),3.0,Node LTS is max intersecting LTS
258009170,46.0472704,11.1274268,3,,,POINT (11.1274268 46.0472704),3.0,Node LTS is max intersecting LTS
258011207,46.0472371,11.1271715,5,crossing,,POINT (11.1271715 46.0472371),3.0,Node LTS is max intersecting LTS
258011215,46.047022,11.1269065,3,,,POINT (11.1269065 46.047022),3.0,Node LTS is max intersecting LTS
258013447,46.0469129,11.1256341,3,,,POINT (11.1256341 46.0469129),3.0,Node LTS is max intersecting LTS
258013553,46.0493392,11.1223561,3,,,POINT (11.1223561 46.0493392),3.0,Node LTS is max intersecting LTS
258013686,46.0508218,11.123363,3,,,POINT (11.123363 46.0508218),3.0,Node LTS is max intersecting LTS
258013696,46.0496322,11.1238012,3,,,POINT (11.1238012 46.0496322),3.0,Node LTS is max intersecting LTS
258014284,46.067517,11.1504947,3,,,POINT (11.1504947 46.067517),3.0,Node LTS is max intersecting LTS
258014285,46.0682774,11.1505783,3,,,POINT (11.1505783 46.0682774),3.0,Node LTS is max intersecting LTS
258014292,46.0670882,11.1530163,3,,,POINT (11.1530163 46.0670882),3.0,Node LTS is max intersecting LTS
258014295,46.0664712,11.1531061,3,,,POINT (11.1531061 46.0664712),3.0,Node LTS is max intersecting LTS
258014296,46.0663679,11.1531587,3,,,POINT (11.1531587 46.0663679),3.0,Node LTS is max intersecting LTS
258014298,46.0663206,11.1535637,3,,,POINT (11.1535637 46.0663206),3.0,Node LTS is max intersecting LTS
258014981,46.0657663,11.1544626,4,crossing,,POINT (11.1544626 46.0657663),3.0,Node LTS is max intersecting LTS
258014988,46.0644275,11.1519304,4,traffic_signals,,POINT (11.1519304 46.0644275),2.0,LTS 3-4 with traffic signals
258015151,46.0814309,11.1545733,3,,,POINT (11.1545733 46.0814309),3.0,Node LTS is max intersecting LTS
258015157,46.0818171,11.1565223,3,,,POINT (11.1565223 46.0818171),3.0,Node LTS is max intersecting LTS
258015166,46.0823569,11.1599537,3,,,POINT (11.1599537 46.0823569),4.0,Node LTS is max intersecting LTS
258015168,46.0831674,11.1611744,3,,,POINT (11.1611744 46.0831674),4.0,Node LTS is max intersecting LTS
258015175,46.0860016,11.162017,3,,,POINT (11.162017 46.0860016),4.0,Node LTS is max intersecting LTS
258015178,46.085979,11.1598647,3,,,POINT (11.1598647 46.085979),4.0,Node LTS is max intersecting LTS
258015181,46.0865169,11.1596787,3,crossing,,POINT (11.1596787 46.0865169),4.0,Node LTS is max intersecting LTS
258015182,46.0870386,11.1593325,3,,,POINT (11.1593325 46.0870386),4.0,Node LTS is max intersecting LTS
258015184,46.0873929,11.158993,3,,,POINT (11.158993 46.0873929),4.0,Node LTS is max intersecting LTS
258015189,46.0882666,11.1601851,3,,,POINT (11.1601851 46.0882666),4.0,Node LTS is max intersecting LTS
258015259,46.0859682,11.1596524,3,,,POINT (11.1596524 46.0859682),4.0,Node LTS is max intersecting LTS
258015533,46.0769007,11.1413986,3,,,POINT (11.1413986 46.0769007),3.0,Node LTS is max intersecting LTS
258015549,46.0765695,11.1411042,3,,,POINT (11.1411042 46.0765695),3.0,Node LTS is max intersecting LTS
258015617,46.0767008,11.1409676,3,,,POINT (11.1409676 46.0767008),4.0,Node LTS is max intersecting LTS
258015760,46.0828988,11.1364328,3,,,POINT (11.1364328 46.0828988),3.0,Node LTS is max intersecting LTS
258015787,46.0858446,11.133263,4,,,POINT (11.133263 46.0858446),4.0,Node LTS is max intersecting LTS
258015796,46.089289,11.1332665,3,traffic_signals,,POINT (11.1332665 46.089289),2.0,LTS 3-4 with traffic signals
258015799,46.0909478,11.1338276,3,,,POINT (11.1338276 46.0909478),3.0,Node LTS is max intersecting LTS
258015805,46.0922108,11.1328681,3,,,POINT (11.1328681 46.0922108),3.0,Node LTS is max intersecting LTS
258015813,46.0923908,11.1325847,3,,,POINT (11.1325847 46.0923908),3.0,Node LTS is max intersecting LTS
258015819,46.0930045,11.1315067,3,,,POINT (11.1315067 46.0930045),3.0,Node LTS is max intersecting LTS
258015832,46.0911989,11.1317831,3,,,POINT (11.1317831 46.0911989),2.0,Node LTS is max intersecting LTS
258015834,46.0905598,11.1316416,3,,,POINT (11.1316416 46.0905598),2.0,Node LTS is max intersecting LTS
258015841,46.0895217,11.1312711,3,,,POINT (11.1312711 46.0895217),3.0,Node LTS is max intersecting LTS
258015844,46.0893931,11.131133,3,,,POINT (11.131133 46.0893931),3.0,Node LTS is max intersecting LTS
258015845,46.089164,11.1309067,3,,,POINT (11.1309067 46.089164),3.0,Node LTS is max intersecting LTS
258015852,46.0873875,11.1310621,3,,,POINT (11.1310621 46.0873875),4.0,Node LTS is max intersecting LTS
258015869,46.0895879,11.1328277,3,,,POINT (11.1328277 46.0895879),3.0,Node LTS is max intersecting LTS
258015871,46.0894812,11.1331874,3,traffic_signals,,POINT (11.1331874 46.0894812),2.0,LTS 3-4 with traffic signals
258015872,46.0894392,11.1333426,4,,,POINT (11.1333426 46.0894392),4.0,Node LTS is max intersecting LTS
258015914,46.0912957,11.1320611,3,,,POINT (11.1320611 46.0912957),,Node not found in edges
258068718,46.0657473,11.1319997,3,,,POINT (11.1319997 46.0657473),3.0,Node LTS is max intersecting LTS
258070520,46.0664974,11.117434,4,,,POINT (11.117434 46.0664974),3.0,Node LTS is max intersecting LTS
258070521,46.0690898,11.116953,3,,,POINT (11.116953 46.0690898),3.0,Node LTS is max intersecting LTS
258070522,46.0681191,11.1171294,4,,,POINT (11.1171294 46.0681191),3.0,Node LTS is max intersecting LTS
258509370,46.0760582,11.1052926,3,,,POINT (11.1052926 46.0760582),3.0,Node LTS is max intersecting LTS
258509388,46.0753244,11.1083906,3,,,POINT (11.1083906 46.0753244),3.0,Node LTS is max intersecting LTS
258509390,46.0748708,11.1086846,4,,,POINT (11.1086846 46.0748708),3.0,Node LTS is max intersecting LTS
258509396,46.0749269,11.1099176,3,,,POINT (11.1099176 46.0749269),3.0,Node LTS is max intersecting LTS
258509407,46.074925,11.1115297,3,,,POINT (11.1115297 46.074925),3.0,Node LTS is max intersecting LTS
258509410,46.0752367,11.1116447,4,crossing,,POINT (11.1116447 46.0752367),3.0,Node LTS is max intersecting LTS
258509418,46.0758927,11.1117202,4,,,POINT (11.1117202 46.0758927),3.0,Node LTS is max intersecting LTS
258509419,46.0786788,11.1036609,3,,,POINT (11.1036609 46.0786788),4.0,Node LTS is max intersecting LTS
258510005,46.0769676,11.1139023,4,,,POINT (11.1139023 46.0769676),4.0,Node LTS is max intersecting LTS
258514058,46.0776825,11.1158685,3,,,POINT (11.1158685 46.0776825),4.0,Node LTS is max intersecting LTS
258514063,46.0776922,11.1160408,3,,,POINT (11.1160408 46.0776922),4.0,Node LTS is max intersecting LTS
258514070,46.0775547,11.116099,3,,,POINT (11.116099 46.0775547),4.0,Node LTS is max intersecting LTS
258514165,46.0771148,11.1180507,4,,,POINT (11.1180507 46.0771148),4.0,Node LTS is max intersecting LTS
258516825,46.0760234,11.1228263,4,traffic_signals,,POINT (11.1228263 46.0760234),2.0,LTS 3-4 with traffic signals
258516827,46.0759966,11.1224628,3,,,POINT (11.1224628 46.0759966),3.0,Node LTS is max intersecting LTS
258519111,46.0760584,11.1244168,4,crossing,,POINT (11.1244168 46.0760584),3.0,Node LTS is max intersecting LTS
258519112,46.0776413,11.1234073,3,,,POINT (11.1234073 46.0776413),3.0,Node LTS is max intersecting LTS
258519129,46.0762695,11.124944,3,,,POINT (11.124944 46.0762695),4.0,Node LTS is max intersecting LTS
258519399,46.0772025,11.1146393,4,,,POINT (11.1146393 46.0772025),4.0,Node LTS is max intersecting LTS
258519408,46.0708171,11.1147747,4,crossing,,POINT (11.1147747 46.0708171),3.0,Node LTS is max intersecting LTS
258519737,46.0703175,11.1143544,3,,,POINT (11.1143544 46.0703175),4.0,Node LTS is max intersecting LTS
258519743,46.0704954,11.1142862,3,,,POINT (11.1142862 46.0704954),3.0,Node LTS is max intersecting LTS
258569264,46.0762101,11.1249523,3,,,POINT (11.1249523 46.0762101),4.0,Node LTS is max intersecting LTS
258570308,46.0744739,11.1249359,4,traffic_signals,,POINT (11.1249359 46.0744739),2.0,LTS 3-4 with traffic signals
258570311,46.0760305,11.124318,4,traffic_signals,,POINT (11.124318 46.0760305),2.0,LTS 3-4 with traffic signals
258586093,46.0735317,11.0878405,3,,,POINT (11.0878405 46.0735317),4.0,Node LTS is max intersecting LTS
258586127,46.0326747,11.0484386,3,,,POINT (11.0484386 46.0326747),4.0,Node LTS is max intersecting LTS
258586132,46.0670394,11.0839623,3,,,POINT (11.0839623 46.0670394),4.0,Node LTS is max intersecting LTS
258586133,46.0655613,11.0988108,3,,,POINT (11.0988108 46.0655613),4.0,Node LTS is max intersecting LTS
258586139,46.0397518,11.0584033,4,,,POINT (11.0584033 46.0397518),4.0,Node LTS is max intersecting LTS
258586141,46.0622422,11.0808856,3,,,POINT (11.0808856 46.0622422),4.0,Node LTS is max intersecting LTS
258586149,46.0212124,11.0418877,4,crossing,,POINT (11.0418877 46.0212124),4.0,Node LTS is max intersecting LTS
258586188,46.0523757,11.0728882,3,,,POINT (11.0728882 46.0523757),4.0,Node LTS is max intersecting LTS
258586220,46.0595594,11.0770081,3,,,POINT (11.0770081 46.0595594),4.0,Node LTS is max intersecting LTS
