osmid,y,x,street_count,highway,ref,geometry,lts,message
6364406501,44.5153717,11.324829,4,,,POINT (11.324829 44.5153717),,Node not found in edges
6364406510,44.5146497,11.3242054,3,,,POINT (11.3242054 44.5146497),,Node not found in edges
6364406511,44.5154368,11.3253402,3,,,POINT (11.3253402 44.5154368),3.0,Node LTS is max intersecting LTS
6364406513,44.5158583,11.3255198,1,,,POINT (11.3255198 44.5158583),,Node not found in edges
6364406514,44.5157202,11.3256157,3,,,POINT (11.3256157 44.5157202),,Node not found in edges
6364406518,44.5155752,11.3257165,3,,,POINT (11.3257165 44.5155752),,Node not found in edges
6366812643,44.4960598,11.3928611,3,,,POINT (11.3928611 44.4960598),4.0,Node LTS is max intersecting LTS
6366812645,44.4954759,11.3945663,1,,,POINT (11.3945663 44.4954759),,Node not found in edges
6366812646,44.4958482,11.3934935,3,,,POINT (11.3934935 44.4958482),,Node not found in edges
6366812651,44.4955941,11.394226,3,,,POINT (11.394226 44.4955941),,Node not found in edges
6366812654,44.4957404,11.3899814,3,,,POINT (11.3899814 44.4957404),3.0,Node LTS is max intersecting LTS
6366812656,44.4956922,11.3901249,3,,,POINT (11.3901249 44.4956922),,Node not found in edges
6366812665,44.4959297,11.3900923,3,,,POINT (11.3900923 44.4959297),3.0,Node LTS is max intersecting LTS
6366812670,44.4946645,11.3908352,3,,,POINT (11.3908352 44.4946645),3.0,Node LTS is max intersecting LTS
6366812671,44.4947293,11.3909652,3,,,POINT (11.3909652 44.4947293),,Node not found in edges
6366812672,44.4957391,11.3902585,3,,,POINT (11.3902585 44.4957391),,Node not found in edges
6366812675,44.4944133,11.3911276,3,,,POINT (11.3911276 44.4944133),,Node not found in edges
6366812676,44.4944393,11.3912537,3,,,POINT (11.3912537 44.4944393),,Node not found in edges
6366812677,44.4944554,11.3911476,3,,,POINT (11.3911476 44.4944554),,Node not found in edges
6366813585,44.4944671,11.3912068,3,,,POINT (11.3912068 44.4944671),,Node not found in edges
6366819078,44.5304308,11.2695435,3,,,POINT (11.2695435 44.5304308),2.0,Node LTS is max intersecting LTS
6366819079,44.5301442,11.2703108,3,,,POINT (11.2703108 44.5301442),,Node not found in edges
6366819081,44.5297708,11.2698693,3,,,POINT (11.2698693 44.5297708),,Node not found in edges
6366819486,44.530042,11.2706365,1,,,POINT (11.2706365 44.530042),,Node not found in edges
6366819488,44.529186,11.2731032,3,,,POINT (11.2731032 44.529186),,Node not found in edges
6366819489,44.5287378,11.2720049,3,,,POINT (11.2720049 44.5287378),3.0,Node LTS is max intersecting LTS
6366819490,44.5296296,11.2731389,3,,,POINT (11.2731389 44.5296296),2.0,Node LTS is max intersecting LTS
6366819492,44.5274897,11.2759835,3,,,POINT (11.2759835 44.5274897),2.0,Node LTS is max intersecting LTS
6366819495,44.5272675,11.2747654,3,,,POINT (11.2747654 44.5272675),,Node not found in edges
6366819496,44.5277675,11.2750445,3,,,POINT (11.2750445 44.5277675),,Node not found in edges
6366819497,44.5275449,11.2757969,3,,,POINT (11.2757969 44.5275449),,Node not found in edges
6366819499,44.5269747,11.2756816,3,,,POINT (11.2756816 44.5269747),2.0,Node LTS is max intersecting LTS
6366819500,44.5270788,11.2753399,1,,,POINT (11.2753399 44.5270788),,Node not found in edges
6367130949,44.4955842,11.4043978,3,,,POINT (11.4043978 44.4955842),3.0,Node LTS is max intersecting LTS
6367130956,44.4967077,11.4046093,3,,,POINT (11.4046093 44.4967077),,Node not found in edges
6367130961,44.4977966,11.4052756,1,,,POINT (11.4052756 44.4977966),,Node not found in edges
6367130962,44.4976567,11.4051856,3,,,POINT (11.4051856 44.4976567),,Node not found in edges
6367130963,44.4977439,11.4047463,1,,,POINT (11.4047463 44.4977439),,Node not found in edges
6367130965,44.4968001,11.4042385,1,,,POINT (11.4042385 44.4968001),,Node not found in edges
6367238544,44.4992084,11.4018996,3,,,POINT (11.4018996 44.4992084),,Node not found in edges
6367238547,44.4988348,11.4030668,1,,,POINT (11.4030668 44.4988348),,Node not found in edges
6367238548,44.4991469,11.4021046,3,,,POINT (11.4021046 44.4991469),,Node not found in edges
6367238549,44.499366,11.4022301,1,,,POINT (11.4022301 44.499366),,Node not found in edges
6367238550,44.4990794,11.4018226,3,,,POINT (11.4018226 44.4990794),,Node not found in edges
6367238554,44.4988829,11.4024448,3,,,POINT (11.4024448 44.4988829),,Node not found in edges
6367238564,44.4987419,11.4028964,3,,,POINT (11.4028964 44.4987419),,Node not found in edges
6367238566,44.498757,11.402365,3,,,POINT (11.402365 44.498757),,Node not found in edges
6367381800,44.4634097,11.4015502,3,,,POINT (11.4015502 44.4634097),3.0,Node LTS is max intersecting LTS
6367407165,44.5054188,11.3092738,4,crossing,,POINT (11.3092738 44.5054188),3.0,Node LTS is max intersecting LTS
6367407166,44.5054514,11.309175,4,crossing,,POINT (11.309175 44.5054514),3.0,Node LTS is max intersecting LTS
6367407167,44.5055078,11.3095576,4,crossing,,POINT (11.3095576 44.5055078),4.0,Node LTS is max intersecting LTS
6367407168,44.5056835,11.3094467,4,crossing,,POINT (11.3094467 44.5056835),3.0,Node LTS is max intersecting LTS
6367407169,44.505714,11.3093354,4,crossing,,POINT (11.3093354 44.505714),3.0,Node LTS is max intersecting LTS
6367407170,44.5056284,11.3091237,4,crossing,,POINT (11.3091237 44.5056284),4.0,Node LTS is max intersecting LTS
