node,coordinates,degree_centrality,closeness_centrality,betweenness_centrality
6555447369,"(663375.9290514376, 5107008.56155534)",3,8.196884672822955e-05,0.003551654883191721
1360243524,"(663315.8613721506, 5107035.260981004)",4,8.144067096889976e-05,0.002841019391210752
3524065621,"(663326.5129507137, 5107020.689888432)",6,8.148982297440899e-05,0.0001642615573632408
5503460231,"(663383.4923848907, 5107165.966504477)",4,8.074074563995575e-05,0.0005802920497895636
3746222110,"(663464.9153263115, 5106999.420909543)",4,8.030065800928923e-05,0.0002586137330546728
266156635,"(666284.4405318374, 5104440.13229699)",5,8.364694437919711e-05,0.005264202495887502
10249227042,"(666280.4274920364, 5104441.157876867)",3,8.359124067788677e-05,2.4680696631048885e-05
442218297,"(666278.809943011, 5104427.716136738)",4,8.368272509131803e-05,0.005273414991297568
10249227020,"(666274.4906377844, 5104503.595446407)",1,8.268005199414307e-05,0.0
266160610,"(665179.1565290297, 5103482.98680338)",8,9.690670025704688e-05,0.0007207701432277038
1985026437,"(665197.6590270477, 5103502.396379767)",2,9.64240499165125e-05,0.0
853801057,"(665160.186125603, 5103499.44427415)",6,9.697870946988939e-05,0.0007272501572151086
910573309,"(665014.7599463728, 5103310.795407212)",4,9.94745931052259e-05,0.0001943143215341976
267587778,"(664454.8926309585, 5102190.169756035)",4,2.188978259558394e-06,3.172034819009312e-08
5969144698,"(664459.3456636929, 5102190.677919796)",4,2.224706958027791e-06,5.4377739754445356e-08
9073378714,"(664439.3001989448, 5102180.680378901)",2,1.9692321267891014e-06,0.0
270745916,"(664438.8684208541, 5102336.160430513)",4,3.3026700355244807e-06,6.79721746930567e-08
268768133,"(663933.6026488224, 5106062.82309443)",2,8.839858742307184e-05,0.0
1580347528,"(663923.7173182839, 5106060.735982672)",4,8.855069240959243e-05,4.9343267348846286e-05
1580347527,"(663911.3331644046, 5106058.3598707095)",6,8.874123770277203e-05,0.00014801167613328738
269014518,"(663086.1753686231, 5111118.809572675)",6,5.351387658387034e-05,0.0010506096524040742
1569524153,"(663105.0908352652, 5111078.651970586)",4,5.326051372677752e-05,7.232239387341232e-05
1569524185,"(663096.8044434049, 5111131.28909622)",4,5.343589110359313e-05,0.0008954858210587367
